------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:50:39 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 173
flow.udp                                      | Total                     | 219
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 4
tcp.sessions                                  | Total                     | 173
tcp.syn                                       | Total                     | 592
tcp.synack                                    | Total                     | 592
tcp.rst                                       | Total                     | 512
detect.alert                                  | Total                     | 1708
app_layer.flow.http                           | Total                     | 80
app_layer.tx.http                             | Total                     | 80
app_layer.flow.dns_udp                        | Total                     | 109
app_layer.tx.dns_udp                          | Total                     | 109
app_layer.flow.failed_udp                     | Total                     | 110
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9218
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 69
flow.mgr.flows_notimeout                      | Total                     | 50
flow.mgr.flows_timeout                        | Total                     | 19
flow.mgr.flows_evicted                        | Total                     | 19
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1114112
http.memuse                                   | Total                     | 7680
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:52:15 (uptime: 0d, 00h 01m 44s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3252
decoder.pkts                                  | Total                     | 3267
decoder.bytes                                 | Total                     | 297939
decoder.ipv4                                  | Total                     | 3208
decoder.ipv6                                  | Total                     | 17
decoder.ethernet                              | Total                     | 3267
decoder.tcp                                   | Total                     | 2748
decoder.udp                                   | Total                     | 253
decoder.icmpv4                                | Total                     | 207
decoder.icmpv6                                | Total                     | 15
decoder.avg_pkt_size                          | Total                     | 91
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 185
flow.udp                                      | Total                     | 240
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 4
tcp.sessions                                  | Total                     | 185
tcp.syn                                       | Total                     | 644
tcp.synack                                    | Total                     | 644
tcp.rst                                       | Total                     | 561
detect.alert                                  | Total                     | 1827
app_layer.flow.http                           | Total                     | 83
app_layer.tx.http                             | Total                     | 83
app_layer.flow.dns_udp                        | Total                     | 121
app_layer.tx.dns_udp                          | Total                     | 121
app_layer.flow.failed_udp                     | Total                     | 119
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9223
